ATLANTICO TRANSPORTES LTDA;; Data: 04/05/2026
TransNet (2026_04_29_16_59_20_216541);; Hora: 20:48:45
Cadastro de Equipamento;;

"#";"Nş Ordem";"Empresa";"Local";"Placa";"Início de Atividade";"Fim de Atividade";"Tipo do Chassi";"Tipo de Serviço";"Media Objetiva";"Tipo Equipamento";"Linha";"Início de Apuraçăo do CCT";"Fim de Apuraçăo do CCT";"Data de Aniversário"
"1";"8900";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"LKY8I73";"01/01/2022";"31/12/2030";"OF 1722";"03-RODOVIARIO";"3";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"2";"881210";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR RODOVIARIA";"EWJ4G16";"01/01/2022";"13/12/2024";"K-310";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"3";"881212";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"EWJ4G18";"01/01/2022";"31/08/2024";"K-310";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"4";"881216";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"EWJ4J49";"01/01/2022";"31/12/2030";"K-310";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"5";"881217";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR RODOVIARIA";"EWJ4J47";"01/01/2022";"19/07/2024";"K-310";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"6";"881218";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"EWJ4G15";"01/01/2022";"31/12/2030";"K-310";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"7";"881221";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"EWJ4G14";"01/01/2022";"24/11/2024";"K-310";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"8";"881222";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"EWJ4J52";"01/01/2022";"27/09/2024";"K-310";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"9";"881225";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR RODOVIARIA";"EWJ4G11";"01/01/2022";"03/01/2025";"K-310";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"10";"881227";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"EWJ4J48";"01/01/2022";"31/12/2030";"K-310";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"11";"881229";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"EWJ4G20";"01/01/2022";"17/06/2025";"K-310";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"12";"881211";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"EVU3H12";"01/01/2022";"25/07/2024";"K-360";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"13";"881214";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR RODOVIARIA";"EVU3H11";"01/01/2022";"23/04/2025";"K-360";"03-RODOVIARIO";"2.4";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"14";"881118";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"KVQ6G95";"01/01/2022";"15/08/2024";"K-340";"03-RODOVIARIO";"2.5";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"15";"881411";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"OZP8H97";"01/01/2022";"20/01/2025";"18.320";"03-RODOVIARIO";"2.9";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"16";"881413";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"OZP6D40";"01/01/2022";"31/12/2030";"18.320";"03-RODOVIARIO";"2.5";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"17";"881402";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"OZH6J44";"01/01/2022";"31/12/2030";"18.320";"03-RODOVIARIO";"2.5";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"18";"881404";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"OZH2G83";"01/01/2022";"01/11/2024";"18.320";"03-RODOVIARIO";"3";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"19";"881406";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"OZH9G81";"01/01/2022";"27/11/2025";"18.320";"03-RODOVIARIO";"2.5";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"20";"881409";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"OZH7I38";"01/01/2022";"24/11/2025";"18.320";"03-RODOVIARIO";"2.5";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"21";"880911";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"NTG8401";"09/06/2023";"31/12/2030";"OF 1722";"03-RODOVIARIO";"3";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"22";"881576";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"KRF8C09";"14/06/2023";"27/01/2024";"OF 1721";"03-RODOVIARIO";"3.5";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"23";"881577";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"LSC4F63";"14/06/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.5";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"24";"881581";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"KWV7D42";"02/07/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.5";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"25";"881620";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"LSV5J78";"16/07/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.5";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"26";"880501";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"JQR6993";"18/09/2023";"31/12/2030";"K-113";"03-RODOVIARIO";"2.75";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"27";"880502";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"JQR7A01";"18/09/2023";"31/12/2030";"K-113";"03-RODOVIARIO";"2.75";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"28";"882308";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"FUE7J54";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"29";"882309";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"FRS5J71";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"30";"882310";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"DTZ0D52";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"31";"882311";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"FIY8D52";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"32";"882312";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"GJN1B71";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"33";"882313";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"FZY2A43";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"34";"882314";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"FXA0I53";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"35";"882315";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"GIH5H93";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"36";"882316";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"GCH7C81";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"37";"882317";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"SWV5I72";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"38";"882318";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"DQB2E22";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"39";"882319";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"SVC1C54";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"40";"882320";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"SVH3C23";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"41";"882321";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"GEE9D74";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"42";"882322";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"GEF1I62";"05/11/2023";"31/12/2030";"OF 1721";"03-RODOVIARIO";"3.9";"FROTA PESADA - ALUGADA";"-";"";"";""
"43";"880503";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"HXQ9559";"23/02/2024";"31/12/2030";"OF 1620";"03-RODOVIARIO";"3.2";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"44";"9910";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR RODOVIARIA";"DAH6C03";"01/01/2022";"12/07/2024";"O500";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"45";"882402";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"SJU1H74";"31/01/2024";"31/12/2030";"OF 1726/59";"03-RODOVIARIO";"3.4";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"46";"882404";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"SJU7C85";"31/01/2024";"31/12/2030";"OF 1726/59";"03-RODOVIARIO";"3.4";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"47";"882406";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"SJU5C25";"31/01/2024";"31/12/2030";"OF 1726/59";"03-RODOVIARIO";"3.4";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"48";"9912";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"DAH6C14";"01/01/2022";"31/12/2030";"O500";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"49";"9914";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"DAH6C02";"01/01/2022";"12/07/2024";"O500";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"50";"882403";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"SKA4A65";"25/05/2024";"31/12/2030";"OF 1726/59";"03-RODOVIARIO";"3.4";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"51";"1630";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"JOK3762";"01/01/2022";"31/12/2030";"OF 1722";"03-RODOVIARIO";"3";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"52";"881154";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"OCR7F14";"01/01/2022";"31/12/2030";"O500";"03-RODOVIARIO";"2.7";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"53";"881156";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR RODOVIARIA";"OCH3C87";"01/01/2022";"01/09/2025";"O500";"03-RODOVIARIO";"2.7";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"54";"9000";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"NQP3D90";"01/01/2022";"13/03/2024";"O500";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"55";"9200";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR RODOVIARIA";"NQY3B70";"01/01/2022";"01/11/2024";"O500";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"56";"9907";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR RODOVIARIA";"ATD5G12";"01/01/2022";"12/07/2024";"O500";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
"57";"9909";"001-ATLANTICO TRANSPORTES LTDA";"GARAGEM SALVADOR IGUATEMI";"ATD8490";"01/01/2022";"26/06/2024";"O500";"03-RODOVIARIO";"2.8";"FROTA PESADA - PRÓPRIA";"-";"";"";""
